name,games played,wins,losses,last_played,os_elo,os_mu,os_sigma,os_rank,ts_elo,ts_mu,ts_sigma
SAINT,31,11,20,2020-07-18 00:00:00,1235.0302014488104,14.719383104185724,5.2569922672536205,-1.0515936975751377,1308.1048194938805,17.32936272995761,3.171322367919699
SAME,1,1,0,2019-04-22 00:00:00,1542.2341154180149,25.753686238149847,8.245211190444289,1.0180526668169776,1585.969685605502,26.022766762810903,8.029474628285415
SDAUZ,70,31,39,2023-09-24 00:00:00,1327.325252810604,18.03448271125945,3.8477706907671725,6.491170638957932,1490.5764454274095,23.038251338187063,2.099228012772107
SENECA,18,6,12,2020-06-17 00:00:00,1223.7122361261622,14.31285879068914,5.427571482249473,-1.9698556560592788,1285.984347709211,16.637291791618058,3.318025740962673
SHABTAJUS,449,278,171,2023-03-24 00:00:00,1665.1120105369891,30.16727565401299,1.8619348375887335,24.581471141246787,1687.5211888696113,29.19995235080058,1.1629059842706737
SHARPG,43,22,21,2023-05-04 00:00:00,1404.2843455122154,20.798737719643068,3.6092854984936285,9.970881224162182,1358.367610793468,18.90190681838787,2.293925001365871
SIGISMUND,50,18,32,2021-02-18 00:00:00,1242.4327836419834,14.985272737029868,3.857503957375866,3.4127608649022694,1299.693349392133,17.066197727746133,2.2845437032458964
SIRAEL,2,0,2,2022-10-19 00:00:00,1335.7827972147584,18.33826500204678,7.418982348647319,-3.9186820438951777,1288.952810187775,16.730164431630612,6.410427577033277
SIRPANTALOONS,256,125,131,2020-05-25 00:00:00,1667.267396769929,30.244693889860788,2.210072568496988,23.614476184369824,1663.0111569313167,28.433120568576847,1.2732728403189153
SKAFFA,226,148,78,2022-10-14 00:00:00,1850.6718523159884,36.83230643837062,2.1349185202978074,30.427550877477202,1820.6016049153648,33.36356555507376,1.3065840581375852
SLOWZO,34,14,20,2021-04-25 00:00:00,1389.4777296500288,20.26690631912287,4.355498829792556,7.200409829745201,1480.1243000552727,22.711240860030383,2.5939130077061043
SNAKE,139,56,83,2022-01-21 00:00:00,1296.1257934369626,16.913844995754722,3.321999974870681,6.94784507114268,1381.833662646395,19.63607617440653,1.6576523678974857
SNARKS,161,80,81,2020-07-25 00:00:00,1640.6928728675082,29.290176909294313,2.4764039674965708,21.8609650068046,1620.9345124111824,27.11669191648044,1.3302506405037962
SNK12HD,718,388,330,2023-11-15 00:00:00,1816.6775917123969,35.61128366080078,1.4411865043910674,31.28772414762758,1758.7962116467493,31.429894477429762,1.0930663585118485
SOLOWINGPIXY,16,4,12,2023-02-03 00:00:00,1181.1422023820678,12.783807123715563,4.878144622873071,-1.85062674490365,1207.8930776661534,14.194093515337096,3.4424307282252125
SPARTAN9323,7,1,6,2019-04-18 00:00:00,1346.3350908281445,18.71728753787413,7.555284166485863,-3.9485649615834575,1278.5242270961398,16.403891133482343,6.034007168515897
SPEEDY,37,22,15,2020-01-28 00:00:00,1536.9564615368527,25.56412083838504,5.002633734573045,10.556219634665904,1614.0317849176636,26.900730107887707,2.742943177599561
SPIELEAUX,3,1,2,2022-12-02 00:00:00,1312.3095051510209,17.49513961071691,7.476739082605925,-4.935077637100864,1217.4528767897923,14.49318565108529,5.925521381967454
SPILARINN,46,18,28,2020-03-28 00:00:00,1334.413858734923,18.28909478815502,3.8965733556001436,6.599374721354588,1397.5045614562193,20.126362898374854,2.252460575745796
STALKERBLAZE,1,0,1,2023-02-26 00:00:00,1422.4534929621418,21.45134620388353,8.044369091305928,-2.681761070034252,1421.090106205073,20.864270762388003,7.5117184296644535
STORMTROUT,1282,690,592,2023-11-15 00:00:00,1747.0050532491662,33.10875073541257,1.4298968246206918,28.819060261550497,1697.7729617158834,29.520693884816165,1.094040076113362
STRANGER491,83,24,59,2021-05-03 00:00:00,1184.5318044512471,12.905556538466136,3.887021339395831,1.2444925202786443,1299.8607547274323,17.07143524567122,2.059434204275488
STUMCGOO,570,264,306,2023-11-09 00:00:00,1600.5518438221022,27.848371442451633,1.5657418814067523,23.151145798231376,1571.8462891071313,25.580895885809852,1.1064302827721952
SUGASWISH,40,15,25,2022-11-21 00:00:00,1334.9644808791145,18.30887230847624,4.189381300583685,5.740728406725184,1336.9797238608096,18.232755856207962,2.6541091372804493
TALKSLOW4ME,68,30,38,2021-12-21 00:00:00,1413.9683376894695,21.14657217217375,3.508033696877219,10.622471081542095,1444.6591723131874,21.601663068303203,2.013450497524233
TAMMO_KORSAI,4,3,1,2020-02-18 00:00:00,1491.184415123218,23.920057686114955,7.469617271686471,1.511205871055541,1458.2150696340723,22.025778913128963,5.901703363052063
TARGETDRONE,2,0,2,2020-04-24 00:00:00,1275.1285469191328,16.159655441127068,7.72759390236272,-7.023126265961093,1184.123097517886,13.45041532322345,5.9216136754692785
TARTANTYCO,56,22,34,2023-04-21 00:00:00,1134.1132205506894,11.094596739302489,3.258664953342421,1.318601879275226,1159.564254080066,12.68205640267251,2.0499973984979065
TERRAPIN,68,27,41,2023-04-04 00:00:00,1334.1414877742582,18.279311632380626,3.2244006960674634,8.606109544178235,1384.0735684110173,19.706154864382242,1.9534426901470872
THE ANCHOR,142,74,68,2019-07-13 00:00:00,1581.0246598460026,27.146984326118957,3.164772716345982,17.652666177081013,1584.1979248744374,25.967334666985945,1.6225993047906102
THE EVIL FOX,1,1,0,2019-04-01 00:00:00,1585.3896468509804,27.30376810262243,8.23042349805006,2.6124976084722498,1705.395723174265,29.75918299691986,7.790853198985254
THE IMPERIAL,1,1,0,2023-01-02 00:00:00,1556.0562751077498,26.250157451722615,8.052872954999868,2.0915385867230114,1615.8134956905274,26.956473505154673,7.612034224578125
THEICELANDICMANIAC,98,40,58,2020-04-22 00:00:00,1381.3006016692739,19.973196165046144,2.9209113363478956,11.210462156002457,1415.5905306228115,20.692208589811607,1.667381867455612
THELIFE,2,0,2,2020-01-09 00:00:00,1313.5255676108245,17.53881874760659,7.927455308006896,-6.243547176414097,1195.009641435453,13.791016587864055,6.370240023332897
